,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Unsuccessful,Successful,Total_Dribbles,Rating
0,Łukasz Piszczek,2017/2018,Borussia Dort..,Germany-Bundesliga,GB,24,2140,11,17,28,7.19
0,Łukasz Piszczek,2017/2018,Borussia Dort..,Europe-UEFA-Europa-League,UEL,3,270,2,2,4,6.95
0,Łukasz Piszczek,2017/2018,Borussia Dort..,Europe-UEFA-Champions-League,UCL,2,180,-,2,2,6.77
0,Łukasz Piszczek,2016/2017,Borussia Dort..,Germany-Bundesliga,GB,25,2036,10,11,21,7.10
0,Łukasz Piszczek,2016/2017,Borussia Dort..,Europe-UEFA-Champions-League,UCL,9,673,2,3,5,6.60
0,Łukasz Piszczek,2015/2016,Borussia Dort..,Germany-Bundesliga,GB,20,1519,10,9,19,7.15
0,Łukasz Piszczek,2015/2016,Borussia Dort..,Europe-UEFA-Europa-League,UEL,9,737,4,5,9,7.09
0,Łukasz Piszczek,2014/2015,Borussia Dort..,Germany-Bundesliga,GB,22,1654,10,10,20,6.79
0,Łukasz Piszczek,2014/2015,Borussia Dort..,Europe-UEFA-Champions-League,UCL,5,392,3,2,5,7.31
0,Łukasz Piszczek,2016,Poland,International-European-Championship,UEC,4,360,2,6,8,7.15
0,Łukasz Piszczek,2013/2014,Borussia Dort..,Europe-UEFA-Champions-League,UCL,6,349,3,1,4,6.44
0,Łukasz Piszczek,2013/2014,Borussia Dort..,Germany-Bundesliga,GB,19,1405,10,14,24,6.98
0,Łukasz Piszczek,2012/2013,Borussia Dort..,Germany-Bundesliga,GB,29,2533,29,13,42,7.23
0,Łukasz Piszczek,2012/2013,Borussia Dort..,Europe-UEFA-Champions-League,UCL,12,1073,4,2,6,7.43
0,Łukasz Piszczek,2012,Poland,International-European-Championship,UEC,3,270,2,2,4,6.88
0,Łukasz Piszczek,2011/2012,Borussia Dort..,Germany-Bundesliga,GB,32,2800,26,45,71,7.50
0,Łukasz Piszczek,2011/2012,Borussia Dort..,Europe-UEFA-Champions-League,UCL,6,540,3,3,6,6.97
0,Łukasz Piszczek,2010/2011,Borussia Dort..,Germany-Bundesliga,GB,33,2671,16,30,46,6.98
0,Łukasz Piszczek,2009/2010,Hertha Berlin,Germany-Bundesliga,GB,31,2430,25,24,49,6.88
0,Victor Lindelöf,2017/2018,Manchester Un..,Europe-UEFA-Champions-League,UCL,5,450,-,2,2,6.98
0,Victor Lindelöf,2017/2018,Manchester Un..,England-Premier-League,EPL,17,1284,1,4,5,6.66
0,Victor Lindelöf,2016/2017,Benfica,Portugal-Liga-NOS,PLN,32,2880,-,8,8,7.03
0,Victor Lindelöf,2016/2017,Benfica,Europe-UEFA-Champions-League,UCL,8,720,-,3,3,6.57
0,Victor Lindelöf,2015/2016,Benfica,Europe-UEFA-Champions-League,UCL,4,360,-,2,2,6.65
0,Victor Lindelöf,2015,Sweden U21,International-EURO-U-21,IEU,5,405,2,5,7,6.61
0,Victor Lindelöf,2016,Sweden,International-European-Championship,UEC,3,270,1,2,3,6.41
0,Pierre-Emile Højbjerg,2017/2018,Southampton,England-Premier-League,EPL,23,1671,12,21,33,6.61
0,Pierre-Emile Højbjerg,2016/2017,Southampton,England-Premier-League,EPL,22,1299,13,15,28,6.79
0,Pierre-Emile Højbjerg,2016/2017,Southampton,Europe-UEFA-Europa-League,UEL,6,412,2,8,10,6.77
0,Pierre-Emile Højbjerg,2015/2016,Schalke 04,Germany-Bundesliga,GB,23,1274,21,20,41,6.77
0,Pierre-Emile Højbjerg,2015/2016,Schalke 04,Europe-UEFA-Europa-League,UEL,6,359,4,8,12,7.12
0,Pierre-Emile Højbjerg,2015,Denmark U21,International-EURO-U-21,IEU,3,269,7,6,13,7.12
0,Pierre-Emile Højbjerg,2014/2015,Bayern Munich,Germany-Bundesliga,GB,8,286,6,9,15,6.68
0,Pierre-Emile Højbjerg,2014/2015,Augsburg,Germany-Bundesliga,GB,16,1008,11,26,37,7.02
0,Pierre-Emile Højbjerg,2014/2015,Bayern Munich,Europe-UEFA-Champions-League,UCL,3,182,1,2,3,6.69
0,Pierre-Emile Højbjerg,2013/2014,Bayern Munich,Germany-Bundesliga,GB,7,289,5,8,13,6.95
0,Pierre-Emile Højbjerg,2012/2013,Bayern Munich,Germany-Bundesliga,GB,2,25,-,-,-,6.33
0,Łukasz Fabiański,2017/2018,Swansea,England-Premier-League,EPL,38,3420,-,-,-,6.89
1,Łukasz Fabiański,2016/2017,Swansea,England-Premier-League,EPL,37,3330,-,-,-,6.7
2,Łukasz Fabiański,2015/2016,Swansea,England-Premier-League,EPL,37,3330,-,-,-,6.87
3,Łukasz Fabiański,2014/2015,Swansea,England-Premier-League,EPL,37,3308,-,-,-,7.09
4,Łukasz Fabiański,2016,Poland,International-European-Championship,UEC,4,360,-,-,-,7.17
5,Łukasz Fabiański,2013/2014,Arsenal,Europe-UEFA-Champions-League,UCL,2,141,-,-,-,7.44
6,Łukasz Fabiański,2013/2014,Arsenal,England-Premier-League,EPL,1,90,-,-,-,7.9
7,Łukasz Fabiański,2012/2013,Arsenal,Europe-UEFA-Champions-League,UCL,1,90,-,-,-,8.15
8,Łukasz Fabiański,2012/2013,Arsenal,England-Premier-League,EPL,4,360,-,-,-,6.75
9,Łukasz Fabiański,2011/2012,Arsenal,Europe-UEFA-Champions-League,UCL,1,28,-,-,-,5.45
10,Łukasz Fabiański,2010/2011,Arsenal,Europe-UEFA-Champions-League,UCL,5,450,-,-,-,6.81
11,Łukasz Fabiański,2010/2011,Arsenal,England-Premier-League,EPL,14,1260,-,-,-,6.75
12,Łukasz Fabiański,2009/2010,Arsenal,Europe-UEFA-Champions-League,UCL,1,90,-,-,-,7.26
13,Łukasz Fabiański,2009/2010,Arsenal,England-Premier-League,EPL,4,360,-,-,-,6.41
14,Danijel Subašic,2017/2018,Monaco,Europe-UEFA-Champions-League,UCL,3,270,-,-,-,5.87
15,Danijel Subašic,2017/2018,Monaco,France-Ligue-1,FL1,34,2941,-,-,-,6.57
16,Danijel Subašic,2016/2017,Monaco,Europe-UEFA-Champions-League,UCL,11,990,1,1,2,6.5
17,Danijel Subašic,2016/2017,Monaco,France-Ligue-1,FL1,36,3240,-,2,2,6.9
18,Danijel Subašic,2015/2016,Monaco,Europe-UEFA-Europa-League,UEL,6,540,-,1,1,6.45
19,Danijel Subašic,2015/2016,Monaco,France-Ligue-1,FL1,36,3240,-,3,3,6.78
20,Danijel Subašic,2014/2015,Monaco,Europe-UEFA-Champions-League,UCL,10,900,-,1,1,7.07
21,Danijel Subašic,2014/2015,Monaco,France-Ligue-1,FL1,37,3330,-,1,1,6.76
22,Danijel Subašic,2016,Croatia,International-European-Championship,UEC,4,360,-,-,-,6.58
23,Danijel Subašic,2013/2014,Monaco,France-Ligue-1,FL1,35,3150,-,1,1,6.94
24,Łukasz Piszczek,2017/2018,Borussia Dort..,Germany-Bundesliga,GB,24,2140,11,17,28,7.19
25,Łukasz Piszczek,2017/2018,Borussia Dort..,Europe-UEFA-Europa-League,UEL,3,270,2,2,4,6.95
26,Łukasz Piszczek,2017/2018,Borussia Dort..,Europe-UEFA-Champions-League,UCL,2,180,-,2,2,6.77
27,Łukasz Piszczek,2016/2017,Borussia Dort..,Germany-Bundesliga,GB,25,2036,10,11,21,7.1
28,Łukasz Piszczek,2016/2017,Borussia Dort..,Europe-UEFA-Champions-League,UCL,9,673,2,3,5,6.6
29,Łukasz Piszczek,2015/2016,Borussia Dort..,Germany-Bundesliga,GB,20,1519,10,9,19,7.15
30,Łukasz Piszczek,2015/2016,Borussia Dort..,Europe-UEFA-Europa-League,UEL,9,737,4,5,9,7.09
31,Łukasz Piszczek,2014/2015,Borussia Dort..,Germany-Bundesliga,GB,22,1654,10,10,20,6.79
32,Łukasz Piszczek,2014/2015,Borussia Dort..,Europe-UEFA-Champions-League,UCL,5,392,3,2,5,7.31
33,Łukasz Piszczek,2016,Poland,International-European-Championship,UEC,4,360,2,6,8,7.15
34,Łukasz Piszczek,2013/2014,Borussia Dort..,Europe-UEFA-Champions-League,UCL,6,349,3,1,4,6.44
35,Łukasz Piszczek,2013/2014,Borussia Dort..,Germany-Bundesliga,GB,19,1405,10,14,24,6.98
36,Łukasz Piszczek,2012/2013,Borussia Dort..,Germany-Bundesliga,GB,29,2533,29,13,42,7.23
37,Łukasz Piszczek,2012/2013,Borussia Dort..,Europe-UEFA-Champions-League,UCL,12,1073,4,2,6,7.43
38,Łukasz Piszczek,2012,Poland,International-European-Championship,UEC,3,270,2,2,4,6.88
39,Łukasz Piszczek,2011/2012,Borussia Dort..,Germany-Bundesliga,GB,32,2800,26,45,71,7.5
40,Łukasz Piszczek,2011/2012,Borussia Dort..,Europe-UEFA-Champions-League,UCL,6,540,3,3,6,6.97
41,Łukasz Piszczek,2010/2011,Borussia Dort..,Germany-Bundesliga,GB,33,2671,16,30,46,6.98
42,Łukasz Piszczek,2009/2010,Hertha Berlin,Germany-Bundesliga,GB,31,2430,25,24,49,6.88
43,Sławomir Peszko,2014/2015,FC Cologne,Germany-Bundesliga,GB,18,1000,30,3,33,6.47
44,Sławomir Peszko,2016,Poland,International-European-Championship,UEC,2,5,-,-,-,6.0
45,Sławomir Peszko,2011/2012,FC Cologne,Germany-Bundesliga,GB,32,2311,55,32,87,6.67
46,Sławomir Peszko,2010/2011,FC Cologne,Germany-Bundesliga,GB,11,766,14,17,31,6.93
47,Mario Mandžukic,2017/2018,Juventus,Italy-Serie-A,ISA,32,2327,7,12,19,7.01
48,Mario Mandžukic,2017/2018,Juventus,Europe-UEFA-Champions-League,UCL,6,457,-,1,1,7.37
49,Mario Mandžukic,2016/2017,Juventus,Italy-Serie-A,ISA,34,2488,9,15,24,7.03
50,Mario Mandžukic,2016/2017,Juventus,Europe-UEFA-Champions-League,UCL,11,914,6,3,9,7.29
51,Mario Mandžukic,2015/2016,Juventus,Italy-Serie-A,ISA,27,2050,3,5,8,7.2
52,Mario Mandžukic,2015/2016,Juventus,Europe-UEFA-Champions-League,UCL,5,311,-,-,-,6.93
53,Mario Mandžukic,2014/2015,Atletico Madr..,Spain-La-Liga,SLL,28,1945,8,8,16,7.22
54,Mario Mandžukic,2014/2015,Atletico Madr..,Europe-UEFA-Champions-League,UCL,10,832,4,4,8,7.39
55,Mario Mandžukic,2016,Croatia,International-European-Championship,UEC,3,268,2,-,2,7.12
56,Mario Mandžukic,2013/2014,Bayern Munich,Europe-UEFA-Champions-League,UCL,10,652,5,4,9,7.12
57,Mario Mandžukic,2013/2014,Bayern Munich,Germany-Bundesliga,GB,30,2028,10,20,30,7.5
58,Mario Mandžukic,2014,Croatia,International-FIFA-World-Cup,WC,2,180,-,-,-,7.8
59,Mario Mandžukic,2012/2013,Bayern Munich,Germany-Bundesliga,GB,24,1744,13,15,28,7.49
60,Mario Mandžukic,2012/2013,Bayern Munich,Europe-UEFA-Champions-League,UCL,10,721,5,1,6,7.07
61,Mario Mandžukic,2012,Croatia,International-European-Championship,UEC,3,270,5,-,5,7.24
62,Mario Mandžukic,2011/2012,Wolfsburg,Germany-Bundesliga,GB,32,2723,34,45,79,7.53
63,Mario Mandžukic,2010/2011,Wolfsburg,Germany-Bundesliga,GB,24,1475,16,17,33,6.96
64,Nabil Dirar,2017/2018,Fenerbahce,Turkey-Super-Lig,TS,29,2278,16,49,65,7.13
65,Nabil Dirar,2016/2017,Monaco,Europe-UEFA-Champions-League,UCL,7,235,4,13,17,6.54
66,Nabil Dirar,2016/2017,Monaco,France-Ligue-1,FL1,18,865,12,26,38,6.84
67,Nabil Dirar,2015/2016,Monaco,Europe-UEFA-Europa-League,UEL,3,114,3,1,4,6.57
68,Nabil Dirar,2015/2016,Monaco,France-Ligue-1,FL1,20,1559,19,37,56,7.2
69,Nabil Dirar,2014/2015,Monaco,Europe-UEFA-Champions-League,UCL,9,603,10,6,16,6.75
70,Nabil Dirar,2014/2015,Monaco,France-Ligue-1,FL1,27,1275,17,17,34,6.55
71,Nabil Dirar,2013/2014,Monaco,France-Ligue-1,FL1,11,321,5,7,12,6.5
72,Jakub Błaszczykowski,2017/2018,Wolfsburg,Germany-Bundesliga,GB,9,521,8,6,14,6.56
73,Jakub Błaszczykowski,2016/2017,Wolfsburg,Germany-Bundesliga,GB,28,1693,23,12,35,6.71
74,Jakub Błaszczykowski,2015/2016,Fiorentina,Italy-Serie-A,ISA,15,761,10,4,14,6.56
75,Jakub Błaszczykowski,2015/2016,Fiorentina,Europe-UEFA-Europa-League,UEL,5,249,-,-,-,6.39
76,Jakub Błaszczykowski,2014/2015,Borussia Dort..,Germany-Bundesliga,GB,13,599,9,17,26,6.67
77,Jakub Błaszczykowski,2014/2015,Borussia Dort..,Europe-UEFA-Champions-League,UCL,3,47,-,-,-,6.02
78,Jakub Błaszczykowski,2016,Poland,International-European-Championship,UEC,5,385,2,11,13,7.53
79,Jakub Błaszczykowski,2013/2014,Borussia Dort..,Europe-UEFA-Champions-League,UCL,6,343,1,5,6,6.74
80,Jakub Błaszczykowski,2013/2014,Borussia Dort..,Germany-Bundesliga,GB,16,791,9,18,27,6.69
81,Jakub Błaszczykowski,2012/2013,Borussia Dort..,Germany-Bundesliga,GB,27,1946,36,40,76,7.5
82,Jakub Błaszczykowski,2012/2013,Borussia Dort..,Europe-UEFA-Champions-League,UCL,10,714,9,11,20,6.74
83,Jakub Błaszczykowski,2012,Poland,International-European-Championship,UEC,3,270,2,5,7,7.24
84,Jakub Błaszczykowski,2011/2012,Borussia Dort..,Germany-Bundesliga,GB,29,1988,36,53,89,7.51
85,Jakub Błaszczykowski,2011/2012,Borussia Dort..,Europe-UEFA-Champions-League,UCL,5,176,4,4,8,6.6
86,Jakub Błaszczykowski,2010/2011,Borussia Dort..,Germany-Bundesliga,GB,29,1544,21,15,36,6.82
87,Jakub Błaszczykowski,2009/2010,Borussia Dort..,Germany-Bundesliga,GB,32,2407,54,48,102,7.22
88,Román Torres,2018,Seattle Sound..,USA-Major-League-Soccer,UMLS,5,390,-,-,-,6.24
89,Román Torres,2017,Seattle Sound..,USA-Major-League-Soccer,UMLS,27,2148,-,2,2,6.77
90,Román Torres,2016,Seattle Sound..,USA-Major-League-Soccer,UMLS,13,1125,-,2,2,6.86
91,Román Torres,2015,Seattle Sound..,USA-Major-League-Soccer,UMLS,4,315,-,1,1,7.18
92,Cheikh N'Doye,2017/2018,Birmingham,England-Championship,EC,37,2391,1,10,11,6.57
93,Cheikh N'Doye,2016/2017,Angers,France-Ligue-1,FL1,33,2911,7,10,17,7.34
94,Cheikh N'Doye,2015/2016,Angers,France-Ligue-1,FL1,32,2775,27,18,45,7.32
95,Soslan Dzhanayev,2017/2018,Rubin Kazan,Russia-Premier-League,RPL,18,1613,-,1,1,6.84
96,Soslan Dzhanayev,2016/2017,FC Rostov,Russia-Premier-League,RPL,13,1170,-,-,-,6.74
97,Soslan Dzhanayev,2016/2017,FC Rostov,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,6.94
98,Soslan Dzhanayev,2015/2016,FC Rostov,Russia-Premier-League,RPL,30,2700,-,-,-,6.71
99,Krzysztof Mączyński,2016,Poland,,UEC,4,334,1,-,1,6.51
100,Bartosz Białkowski,2017/2018,Ipswich,England-Championship,EC,45,4050,-,-,-,6.79
101,Bartosz Białkowski,2016/2017,Ipswich,England-Championship,EC,44,3960,-,1,1,6.58
102,Bartosz Białkowski,2015/2016,Ipswich,England-Championship,EC,20,1800,-,-,-,6.96
103,Bartosz Białkowski,2014/2015,Ipswich,England-Championship,EC,33,2960,-,-,-,6.43
104,Artur Jędrzejczyk,2016/2017,FC Krasnodar,Russia-Premier-League,RPL,13,1131,9,2,11,6.78
105,Artur Jędrzejczyk,2016/2017,FC Krasnodar,Europe-UEFA-Europa-League,UEL,5,435,3,2,5,6.79
106,Artur Jędrzejczyk,2015/2016,FC Krasnodar,Russia-Premier-League,RPL,6,490,5,-,5,7.0
107,Artur Jędrzejczyk,2015/2016,FC Krasnodar,Europe-UEFA-Europa-League,UEL,4,357,5,3,8,6.83
108,Artur Jędrzejczyk,2014/2015,FC Krasnodar,Europe-UEFA-Europa-League,UEL,5,407,3,4,7,6.96
109,Artur Jędrzejczyk,2014/2015,FC Krasnodar,Russia-Premier-League,RPL,14,1260,8,5,13,6.97
110,Artur Jędrzejczyk,2016,Poland,International-European-Championship,UEC,5,450,-,1,1,6.97
111,Artur Jędrzejczyk,2013/2014,FC Krasnodar,Russia-Premier-League,RPL,27,2386,26,14,40,7.16
112,Shinji Kagawa,2017/2018,Borussia Dort..,Germany-Bundesliga,GB,19,1166,15,9,24,6.81
113,Shinji Kagawa,2017/2018,Borussia Dort..,Europe-UEFA-Champions-League,UCL,5,402,3,5,8,6.73
114,Shinji Kagawa,2016/2017,Borussia Dort..,Germany-Bundesliga,GB,21,1259,10,18,28,6.82
115,Shinji Kagawa,2016/2017,Borussia Dort..,Europe-UEFA-Champions-League,UCL,5,369,-,7,7,7.35
116,Shinji Kagawa,2015/2016,Borussia Dort..,Germany-Bundesliga,GB,29,2172,13,20,33,7.06
117,Shinji Kagawa,2015/2016,Borussia Dort..,Europe-UEFA-Europa-League,UEL,8,482,5,5,10,6.69
118,Shinji Kagawa,2014/2015,Borussia Dort..,Germany-Bundesliga,GB,28,1880,20,22,42,6.78
119,Shinji Kagawa,2014/2015,Borussia Dort..,Europe-UEFA-Champions-League,UCL,5,348,4,2,6,6.87
120,Shinji Kagawa,2013/2014,Manchester Un..,Europe-UEFA-Champions-League,UCL,8,596,5,10,15,6.72
121,Shinji Kagawa,2013/2014,Manchester Un..,England-Premier-League,EPL,18,1172,9,10,19,6.71
122,Shinji Kagawa,2014,Japan,International-FIFA-World-Cup,WC,3,204,1,1,2,6.59
123,Shinji Kagawa,2013,Japan,International-Confederations-Cup,ICC,3,270,5,2,7,7.31
124,Shinji Kagawa,2012/2013,Manchester Un..,Europe-UEFA-Champions-League,UCL,3,195,1,1,2,6.84
125,Shinji Kagawa,2012/2013,Manchester Un..,England-Premier-League,EPL,20,1325,11,8,19,6.91
126,Shinji Kagawa,2011/2012,Borussia Dort..,Germany-Bundesliga,GB,31,2423,45,61,106,7.48
127,Shinji Kagawa,2011/2012,Borussia Dort..,Europe-UEFA-Champions-League,UCL,6,355,5,1,6,6.26
128,Shinji Kagawa,2010/2011,Borussia Dort..,Germany-Bundesliga,GB,18,1371,19,23,42,7.12
129,Mesut Özil,2017/2018,Arsenal,Europe-UEFA-Europa-League,UEL,7,609,5,15,20,7.7
130,Mesut Özil,2017/2018,Arsenal,England-Premier-League,EPL,26,2164,15,36,51,7.25
131,Mesut Özil,2016/2017,Arsenal,Europe-UEFA-Champions-League,UCL,8,627,3,7,10,7.37
132,Mesut Özil,2016/2017,Arsenal,England-Premier-League,EPL,33,2848,18,32,50,7.3
133,Mesut Özil,2015/2016,Arsenal,Europe-UEFA-Champions-League,UCL,8,720,7,13,20,7.03
134,Mesut Özil,2015/2016,Arsenal,England-Premier-League,EPL,35,3049,35,46,81,7.66
135,Mesut Özil,2014/2015,Arsenal,Europe-UEFA-Champions-League,UCL,4,319,7,7,14,6.8
136,Mesut Özil,2014/2015,Arsenal,England-Premier-League,EPL,22,1860,28,52,80,7.57
137,Mesut Özil,2016,Germany,International-European-Championship,UEC,6,540,4,16,20,7.42
138,Mesut Özil,2013/2014,Real Madrid,Spain-La-Liga,SLL,2,134,1,4,5,7.18
139,Mesut Özil,2013/2014,Arsenal,Europe-UEFA-Champions-League,UCL,8,668,8,7,15,6.83
140,Mesut Özil,2013/2014,Arsenal,England-Premier-League,EPL,26,2150,45,45,90,7.27
141,Mesut Özil,2014,Germany,International-FIFA-World-Cup,WC,7,595,7,10,17,6.98
142,Mesut Özil,2012/2013,Real Madrid,Spain-La-Liga,SLL,32,2042,31,33,64,7.39
143,Mesut Özil,2012/2013,Real Madrid,Europe-UEFA-Champions-League,UCL,10,723,12,8,20,6.97
144,Mesut Özil,2012,Germany,International-European-Championship,UEC,5,438,8,11,19,7.82
145,Mesut Özil,2011/2012,Real Madrid,Spain-La-Liga,SLL,35,2591,44,38,82,7.37
146,Mesut Özil,2011/2012,Real Madrid,Europe-UEFA-Champions-League,UCL,10,788,13,7,20,7.47
147,Mesut Özil,2010/2011,Real Madrid,Spain-La-Liga,SLL,36,2571,40,44,84,7.44
148,Mesut Özil,2010/2011,Real Madrid,Europe-UEFA-Champions-League,UCL,11,805,13,8,21,7.41
149,Mesut Özil,2009/2010,Werder Bremen,Germany-Bundesliga,GB,31,2601,70,70,140,7.62
150,Steven Nzonzi,2017/2018,Sevilla,Spain-La-Liga,SLL,27,2216,3,13,16,6.89
151,Steven Nzonzi,2017/2018,Sevilla,Europe-UEFA-Champions-League,UCL,8,676,-,5,5,7.0
152,Steven Nzonzi,2016/2017,Sevilla,Spain-La-Liga,SLL,35,3067,11,30,41,7.13
153,Steven Nzonzi,2016/2017,Sevilla,Europe-UEFA-Champions-League,UCL,8,720,2,11,13,7.48
154,Steven Nzonzi,2015/2016,Sevilla,Spain-La-Liga,SLL,28,1847,3,13,16,6.86
155,Steven Nzonzi,2015/2016,Sevilla,Europe-UEFA-Europa-League,UEL,7,627,-,2,2,7.1
156,Steven Nzonzi,2015/2016,Sevilla,Europe-UEFA-Champions-League,UCL,5,284,-,3,3,6.82
157,Steven Nzonzi,2014/2015,Stoke,England-Premier-League,EPL,38,3376,27,47,74,7.01
158,Steven Nzonzi,2013/2014,Stoke,England-Premier-League,EPL,36,3041,13,25,38,6.8
159,Steven Nzonzi,2012/2013,Stoke,England-Premier-League,EPL,35,3109,10,19,29,6.76
160,Steven Nzonzi,2011/2012,Blackburn,England-Premier-League,EPL,32,2810,3,22,25,6.83
161,Steven Nzonzi,2010/2011,Blackburn,England-Premier-League,EPL,21,1268,4,2,6,6.74
162,Steven Nzonzi,2009/2010,Blackburn,England-Premier-League,EPL,33,2868,5,9,14,7.11
163,Éver Banega,2017/2018,Sevilla,Spain-La-Liga,SLL,31,2397,38,83,121,7.08
164,Éver Banega,2017/2018,Sevilla,Europe-UEFA-Champions-League,UCL,9,792,8,30,38,7.72
165,Éver Banega,2016/2017,Inter,Italy-Serie-A,ISA,28,1559,16,41,57,7.16
166,Éver Banega,2016/2017,Inter,Europe-UEFA-Europa-League,UEL,4,295,2,8,10,6.84
167,Éver Banega,2015/2016,Sevilla,Spain-La-Liga,SLL,25,1726,26,40,66,7.21
168,Éver Banega,2015/2016,Sevilla,Europe-UEFA-Europa-League,UEL,8,703,11,25,36,7.47
169,Éver Banega,2015/2016,Sevilla,Europe-UEFA-Champions-League,UCL,5,412,7,18,25,7.24
170,Éver Banega,2015,Argentina,International-Copa-America,ICA,5,130,4,6,10,6.64
171,Éver Banega,2014/2015,Sevilla,Spain-La-Liga,SLL,34,2199,34,58,92,7.0
172,Éver Banega,2014/2015,Sevilla,Europe-UEFA-Europa-League,UEL,12,911,11,19,30,7.02
173,Éver Banega,2013/2014,Valencia,Spain-La-Liga,SLL,18,1156,38,36,74,6.95
174,Éver Banega,2013/2014,Valencia,Europe-UEFA-Europa-League,UEL,2,180,2,4,6,7.15
175,Éver Banega,2012/2013,Valencia,Spain-La-Liga,SLL,29,1982,66,69,135,7.14
176,Éver Banega,2012/2013,Valencia,Europe-UEFA-Champions-League,UCL,5,213,7,4,11,6.58
177,Éver Banega,2011/2012,Valencia,Spain-La-Liga,SLL,13,1065,15,29,44,7.42
178,Éver Banega,2011/2012,Valencia,Europe-UEFA-Champions-League,UCL,4,279,4,5,9,6.66
179,Éver Banega,2010/2011,Valencia,Spain-La-Liga,SLL,28,1745,25,44,69,7.09
180,Éver Banega,2010/2011,Valencia,Europe-UEFA-Champions-League,UCL,4,300,5,11,16,7.49
181,Éver Banega,2009/2010,Valencia,Spain-La-Liga,SLL,36,2824,32,63,95,7.2
182,Mats Hummels,2017/2018,Bayern Munich,Germany-Bundesliga,GB,26,2213,10,12,22,7.27
183,Mats Hummels,2017/2018,Bayern Munich,Europe-UEFA-Champions-League,UCL,9,679,1,8,9,7.18
184,Mats Hummels,2016/2017,Bayern Munich,Germany-Bundesliga,GB,27,2181,-,4,4,7.32
185,Mats Hummels,2016/2017,Bayern Munich,Europe-UEFA-Champions-League,UCL,9,651,2,8,10,7.09
186,Mats Hummels,2015/2016,Borussia Dort..,Germany-Bundesliga,GB,30,2496,5,23,28,7.34
187,Mats Hummels,2015/2016,Borussia Dort..,Europe-UEFA-Europa-League,UEL,10,829,1,8,9,7.45
188,Mats Hummels,2014/2015,Borussia Dort..,Germany-Bundesliga,GB,24,2032,8,20,28,7.6
189,Mats Hummels,2014/2015,Borussia Dort..,Europe-UEFA-Champions-League,UCL,4,257,-,-,-,6.81
190,Mats Hummels,2016,Germany,International-European-Championship,UEC,4,360,-,4,4,7.32
191,Mats Hummels,2013/2014,Borussia Dort..,Europe-UEFA-Champions-League,UCL,6,496,1,4,5,7.62
192,Mats Hummels,2013/2014,Borussia Dort..,Germany-Bundesliga,GB,23,1962,6,27,33,7.71
193,Mats Hummels,2014,Germany,International-FIFA-World-Cup,WC,6,479,-,3,3,7.77
194,Mats Hummels,2012/2013,Borussia Dort..,Germany-Bundesliga,GB,28,2376,9,20,29,7.4
195,Mats Hummels,2012/2013,Borussia Dort..,Europe-UEFA-Champions-League,UCL,11,889,3,8,11,7.31
196,Mats Hummels,2012,Germany,International-European-Championship,UEC,5,450,-,2,2,7.42
197,Mats Hummels,2011/2012,Borussia Dort..,Germany-Bundesliga,GB,33,2950,11,25,36,7.57
198,Mats Hummels,2011/2012,Borussia Dort..,Europe-UEFA-Champions-League,UCL,6,540,1,4,5,7.01
199,Mats Hummels,2010/2011,Borussia Dort..,Germany-Bundesliga,GB,32,2835,10,16,26,7.25
200,Mats Hummels,2009/2010,Borussia Dort..,Germany-Bundesliga,GB,30,2522,9,10,19,7.35
201,Ivan Perišic,2017/2018,Inter,Italy-Serie-A,ISA,37,3316,22,31,53,7.35
202,Ivan Perišic,2016/2017,Inter,Italy-Serie-A,ISA,36,2757,39,41,80,7.28
203,Ivan Perišic,2016/2017,Inter,Europe-UEFA-Europa-League,UEL,5,197,-,2,2,6.38
204,Ivan Perišic,2015/2016,Inter,Italy-Serie-A,ISA,34,2409,34,28,62,6.89
205,Ivan Perišic,2015/2016,Wolfsburg,Germany-Bundesliga,GB,2,164,1,1,2,7.04
206,Ivan Perišic,2014/2015,Wolfsburg,Germany-Bundesliga,GB,24,1736,16,24,40,7.15
207,Ivan Perišic,2014/2015,Wolfsburg,Europe-UEFA-Europa-League,UEL,9,512,5,4,9,6.89
208,Ivan Perišic,2016,Croatia,International-European-Championship,UEC,4,357,4,5,9,7.66
209,Ivan Perišic,2013/2014,Wolfsburg,Germany-Bundesliga,GB,33,2214,24,44,68,7.17
210,Ivan Perišic,2014,Croatia,International-FIFA-World-Cup,WC,3,258,1,3,4,7.62
211,Ivan Perišic,2012/2013,Wolfsburg,Germany-Bundesliga,GB,11,548,7,10,17,6.74
212,Ivan Perišic,2012/2013,Borussia Dort..,Germany-Bundesliga,GB,14,519,11,3,14,6.53
213,Ivan Perišic,2012/2013,Borussia Dort..,Europe-UEFA-Champions-League,UCL,5,145,1,1,2,6.37
214,Ivan Perišic,2012,Croatia,International-European-Championship,UEC,3,182,-,-,-,6.85
215,Ivan Perišic,2011/2012,Borussia Dort..,Germany-Bundesliga,GB,28,992,15,22,37,6.94
216,Ivan Perišic,2011/2012,Borussia Dort..,Europe-UEFA-Champions-League,UCL,6,320,3,5,8,6.63
217,Toni Kroos,2017/2018,Real Madrid,Spain-La-Liga,SLL,27,2268,8,24,32,7.47
218,Toni Kroos,2017/2018,Real Madrid,Europe-UEFA-Champions-League,UCL,12,953,-,2,2,7.01
